"","nr","lwage","year","ethnicity","union","educ"
"2201",4633,1.75946652889252,1980,0,0,12
"2202",4633,1.42333567142487,1981,0,0,12
"2209",4676,0.636215031147003,1980,0,0,10
"2210",4676,0.862021088600159,1981,0,0,10
"2217",4701,1.59567201137543,1980,0,0,12
"2218",4701,1.79305064678192,1981,0,0,12
"2225",4716,0.94170343875885,1980,0,0,12
"2226",4716,1.24319350719452,1981,0,1,12
"2233",4720,2.08985352516174,1980,0,1,12
"2234",4720,2.17998266220093,1981,0,0,12
"2241",4759,1.79040658473969,1980,0,1,12
"2242",4759,1.8718022108078,1981,0,1,12
"2249",4791,1.96167826652527,1980,0,1,12
"2250",4791,1.65455830097198,1981,0,1,12
"2257",4811,0.732142150402069,1980,0,0,12
"2258",4811,0.976242065429688,1981,0,0,12
"2265",4828,0.988561391830444,1980,0,0,11
"2266",4828,1.50126373767853,1981,0,0,11
"2273",4857,1.13969814777374,1980,0,0,14
"2274",4857,0.750776290893555,1981,0,0,14
"2281",4858,1.28632235527039,1980,0,0,12
"2282",4858,1.64824962615967,1981,0,1,12
"2289",4859,1.32687759399414,1980,0,0,12
"2290",4859,1.06306731700897,1981,0,0,12
"2297",4866,1.69588577747345,1980,0,1,14
"2298",4866,1.81707727909088,1981,0,1,14
"2305",4881,1.37308025360107,1980,0,0,14
"2306",4881,1.5028281211853,1981,0,0,14
"2313",4884,1.57583296298981,1980,0,0,12
"2314",4884,1.57021725177765,1981,0,0,12
"2321",4888,1.46694338321686,1980,0,1,12
"2322",4888,1.43472099304199,1981,0,1,12
"2329",4901,1.16876649856567,1980,0,1,11
"2330",4901,1.22502624988556,1981,0,1,11
"2337",4917,1.199538230896,1980,0,0,12
"2338",4917,0.899249255657196,1981,0,0,12
"2345",4926,1.65202176570892,1980,0,1,12
"2346",4926,1.59613394737244,1981,0,1,12
"2353",4982,0.8883838057518,1980,0,0,9
"2354",4982,1.06919836997986,1981,0,0,9
"2361",5017,1.88637626171112,1980,0,0,13
"2362",5017,2.04872560501099,1981,0,0,13
"2369",5033,1.94877481460571,1980,0,0,12
"2370",5033,2.2014889717102,1981,0,0,12
"2377",5048,0.5101717710495,1980,0,0,11
"2378",5048,1.09611535072327,1981,0,0,11
"2385",5122,0.874741017818451,1980,0,0,12
"2386",5122,1.69929420948029,1981,0,0,12
"2393",5141,2.15451407432556,1980,2,0,12
"2394",5141,1.90045893192291,1981,2,0,12
"2401",5147,2.05593991279602,1980,2,1,12
"2402",5147,2.12905192375183,1981,2,0,12
"2409",5158,1.82369256019592,1980,0,0,11
"2410",5158,1.81707727909088,1981,0,0,11
"2417",5221,1.37471461296082,1980,2,0,14
"2418",5221,1.60943794250488,1981,2,1,14
"2425",5223,1.54116451740265,1980,0,0,12
"2426",5223,1.80560493469238,1981,0,0,12
"2433",5227,2.69119310379028,1980,0,0,12
"2434",5227,0.446287095546722,1981,0,0,12
"2441",5248,1.13784468173981,1980,0,0,14
"2442",5248,1.08958172798157,1981,0,0,14
"2449",5252,0.411299407482147,1980,0,0,10
"2450",5252,1.6835458278656,1981,0,0,10
"2457",5263,1.63032114505768,1980,0,0,14
"2458",5263,1.5939337015152,1981,0,0,14
"2465",5274,1.66573023796082,1980,0,0,12
"2466",5274,2.90042209625244,1981,0,0,12
"2473",5335,1.44799959659576,1980,0,0,12
"2474",5335,1.81707727909088,1981,0,0,12
"2481",5345,1.51620781421661,1980,0,0,12
"2482",5345,0.820980548858643,1981,0,0,12
"2489",5359,0.244026765227318,1980,0,0,12
"2490",5359,1.00091469287872,1981,0,0,12
"2497",5368,1.11742663383484,1980,0,0,12
"2498",5368,0.753251075744629,1981,0,0,12
"2505",5377,1.52804231643677,1980,0,0,12
"2506",5377,1.63225257396698,1981,0,0,12
"2513",5390,1.599236369133,1980,0,0,14
"2514",5390,1.32371091842651,1981,0,0,14
"2521",5419,0.651898622512817,1980,0,0,11
"2522",5419,0.913516819477081,1981,0,0,11
"2529",5435,1.11949551105499,1980,0,0,11
"2530",5435,1.26098084449768,1981,0,0,11
"2537",5437,1.5621429681778,1980,0,0,12
"2538",5437,1.46857070922852,1981,0,0,12
"2545",5497,1.33952307701111,1980,0,0,12
"2546",5497,1.48683559894562,1981,0,0,12
"2553",5525,1.0936051607132,1980,0,0,8
"2554",5525,1.41275238990784,1981,0,0,8
"2561",5529,1.26407670974731,1980,0,0,10
"2562",5529,1.33933734893799,1981,0,0,10
"2569",5531,1.64832842350006,1980,0,0,12
"2570",5531,1.53532993793488,1981,0,0,12
"2577",5579,1.28836941719055,1980,0,0,10
"2578",5579,1.51270830631256,1981,0,0,10
"2585",5588,1.41231894493103,1980,0,0,9
"2586",5588,1.98413133621216,1981,0,0,9
"2593",5599,1.99804592132568,1980,0,0,14
"2594",5599,1.60943794250488,1981,0,0,14
"2601",5650,1.17851078510284,1980,0,0,11
"2602",5650,1.42711639404297,1981,0,1,11
"2609",5660,1.84568285942078,1980,0,0,12
"2610",5660,1.78547668457031,1981,0,0,12
"2617",5665,1.42976808547974,1980,0,0,14
"2618",5665,1.29419791698456,1981,0,0,14
"2625",5666,1.6762307882309,1980,0,0,14
"2626",5666,1.50095725059509,1981,0,0,14
"2633",5698,1.71297144889832,1980,0,0,12
"2634",5698,1.81010866165161,1981,0,0,12
"2641",5699,1.82971060276031,1980,0,0,13
"2642",5699,1.93486034870148,1981,0,0,13
"2649",5731,1.20492565631866,1980,2,1,11
"2650",5731,1.01856958866119,1981,2,0,11
"2657",5750,1.04896533489227,1980,2,1,11
"2658",5750,1.27818763256073,1981,2,1,11
"2665",5755,1.30281758308411,1980,2,1,10
"2666",5755,1.3862943649292,1981,2,0,10
"2673",5772,-0.887685477733612,1980,2,0,9
"2674",5772,1.23214364051819,1981,2,0,9
"2681",5816,1.26872837543488,1980,2,0,12
"2682",5816,1.58823573589325,1981,2,0,12
"2689",5823,1.12954580783844,1980,2,0,11
"2690",5823,0.964081406593323,1981,2,0,11
"2697",5851,-1.1138219833374,1980,2,0,13
"2698",5851,1.50159275531769,1981,2,0,13
"2705",5857,0.43465194106102,1980,2,0,12
"2706",5857,1.77032423019409,1981,2,0,12
"2713",5859,1.22240400314331,1980,0,0,15
"2714",5859,2.32200312614441,1981,0,0,15
"2721",6016,1.85679244995117,1980,2,0,12
"2722",6016,1.82461130619049,1981,2,0,12
"2729",6020,0.676384031772614,1980,1,0,10
"2730",6020,0.540780901908875,1981,1,0,10
"2737",6025,0.774270474910736,1980,1,0,10
"2738",6025,0.289350122213364,1981,1,0,10
"2745",6056,1.0913245677948,1980,1,0,12
"2746",6056,0.920204639434814,1981,1,0,12
"2753",6094,1.76134943962097,1980,1,1,13
"2754",6094,1.91238749027252,1981,1,0,13
"2761",6186,1.19087040424347,1980,1,0,12
"2762",6186,1.74893951416016,1981,1,0,12
"2769",6395,1.32873117923737,1980,1,0,9
"2770",6395,1.59533333778381,1981,1,0,9
"2777",6430,1.25875759124756,1980,1,0,11
"2778",6430,1.41804301738739,1981,1,1,11
"2785",6446,1.63032114505768,1980,0,1,11
"2786",6446,1.64197373390198,1981,0,1,11
"2793",6463,1.2287095785141,1980,0,0,5
"2794",6463,1.54274654388428,1981,0,0,5
"2801",6558,2.19094967842102,1980,0,1,15
"2802",6558,2.02001810073853,1981,0,0,15
"2809",6559,1.47138166427612,1980,0,0,15
"2810",6559,1.40383863449097,1981,0,0,15
"2817",6561,1.79128587245941,1980,0,0,15
"2818",6561,2.00500893592834,1981,0,0,15
"2825",6574,1.40187096595764,1980,1,1,12
"2826",6574,1.24171316623688,1981,1,1,12
"2833",6648,2.3618004322052,1980,1,1,12
"2834",6648,1.96939814090729,1981,1,0,12
"2841",6813,1.34263908863068,1980,1,1,12
"2842",6813,1.34707367420197,1981,1,0,12
"2849",6824,1.04183423519135,1980,2,1,12
"2850",6824,1.6835458278656,1981,2,1,12
"2857",6888,0.924751400947571,1980,2,0,10
"2858",6888,0.989044725894928,1981,2,1,10
"2865",6942,1.31135892868042,1980,2,1,10
"2866",6942,1.27654349803925,1981,2,0,10
"2873",6954,1.86055099964142,1980,2,0,13
"2874",6954,2.04889678955078,1981,2,0,13
"2881",6955,1.19234931468964,1980,2,1,11
"2882",6955,2.24136233329773,1981,2,0,11
"2889",6964,1.37950658798218,1980,1,1,8
"2890",6964,1.77933692932129,1981,1,0,8
"2897",6987,2.46582984924316,1980,0,0,15
"2898",6987,2.54147696495056,1981,0,0,15
"2905",7025,1.71140599250793,1980,2,1,12
"2906",7025,1.93741941452026,1981,2,1,12
"2913",7043,1.34939253330231,1980,0,0,12
"2914",7043,1.6835458278656,1981,0,0,12
"2921",7060,1.91800320148468,1980,0,0,12
"2922",7060,1.60943794250488,1981,0,1,12
"2929",7087,0.556787133216858,1980,1,0,11
"2930",7087,1.02831590175629,1981,1,0,11
"2937",7238,1.34263908863068,1980,2,1,6
"2938",7238,1.38987219333649,1981,2,0,6
"2945",7279,1.32815563678741,1980,1,1,12
"2946",7279,1.34707367420197,1981,1,1,12
"2953",7342,1.37605595588684,1980,0,0,12
"2954",7342,1.39022362232208,1981,0,0,12
"2961",7343,1.35147976875305,1980,0,0,15
"2962",7343,1.41718316078186,1981,0,1,15
"2969",7411,1.15074801445007,1980,1,1,12
"2970",7411,1.44232213497162,1981,1,1,12
"2977",7424,1.2893944978714,1980,2,0,11
"2978",7424,1.40841448307037,1981,2,0,11
"2985",7429,1.93920540809631,1980,0,0,8
"2986",7429,1.30742108821869,1981,0,1,8
"2993",7454,1.3812792301178,1980,1,0,15
"2994",7454,1.66027760505676,1981,1,0,15
"3001",7472,1.31556141376495,1980,2,1,10
"3002",7472,1.37254321575165,1981,2,0,10
"3009",7474,1.33941078186035,1980,1,0,12
"3010",7474,1.93486034870148,1981,1,1,12
"3017",7509,1.40717756748199,1980,1,1,11
"3018",7509,1.60943794250488,1981,1,1,11
"3025",7539,1.17833602428436,1980,2,0,12
"3026",7539,1.13165211677551,1981,2,0,12
"3033",7769,1.75837302207947,1980,0,0,14
"3034",7769,1.73506414890289,1981,0,0,14
"3041",7783,1.41645121574402,1980,0,0,12
"3042",7783,1.22929060459137,1981,0,0,12
"3049",7784,1.7941392660141,1980,0,0,11
"3050",7784,2.93746328353882,1981,0,0,11
"3057",7801,0.904074013233185,1980,1,0,13
"3058",7801,1.18744349479675,1981,1,0,13
"3065",7824,1.74591481685638,1980,2,1,12
"3066",7824,1.50967335700989,1981,2,0,12
"3073",7874,2.20595526695251,1980,0,0,15
"3074",7874,2.07727003097534,1981,0,0,15
"3081",7887,1.47608256340027,1980,0,0,12
"3082",7887,2.20080232620239,1981,0,1,12
"3089",7923,2.22218203544617,1980,1,0,12
"3090",7923,2.24431610107422,1981,1,1,12
"3097",7926,1.84125173091888,1980,2,1,12
"3098",7926,1.75253880023956,1981,2,1,12
"3105",8021,1.39648604393005,1980,0,0,15
"3106",8021,1.58333921432495,1981,0,0,15
"3113",8087,2.03578615188599,1980,2,0,12
"3114",8087,1.90668940544128,1981,2,0,12
"3121",8089,1.57902777194977,1980,0,0,12
"3122",8089,1.62470543384552,1981,0,0,12
"3129",8090,1.73568165302277,1980,0,0,14
"3130",8090,1.57407081127167,1981,0,0,14
"3137",8096,1.694859623909,1980,2,1,6
"3138",8096,1.73254764080048,1981,2,0,6
"3145",8106,1.58796179294586,1980,2,1,8
"3146",8106,1.5488133430481,1981,2,0,8
"3153",8107,1.10667157173157,1980,2,0,3
"3154",8107,1.24171316623688,1981,2,0,3
"3161",8142,1.23875892162323,1980,2,0,11
"3162",8142,1.3862943649292,1981,2,0,11
"3169",8168,1.91451275348663,1980,2,1,11
"3170",8168,1.84305274486542,1981,2,1,11
"3177",8173,1.44799959659576,1980,2,0,8
"3178",8173,1.34707367420197,1981,2,0,8
"3185",8203,2.23826146125793,1980,2,0,14
"3186",8203,2.28488540649414,1981,2,0,14
"3193",8211,0.424667030572891,1980,2,1,8
"3194",8211,1.44238388538361,1981,2,0,8
"3201",8224,1.95079302787781,1980,1,0,12
"3202",8224,1.91541314125061,1981,1,0,12
"3209",8272,1.82475185394287,1980,2,0,10
"3210",8272,1.97122800350189,1981,2,1,10
"3217",8300,1.44285821914673,1980,2,0,12
"3218",8300,1.42081189155579,1981,2,0,12
"3225",8304,1.77935671806335,1980,2,0,12
"3226",8304,1.69929420948029,1981,2,0,12
"3233",8364,1.41516637802124,1980,2,0,11
"3234",8364,1.55700194835663,1981,2,0,11
"3241",8370,1.96430778503418,1980,0,0,12
"3242",8370,2.03017044067383,1981,0,1,12
"3249",8381,1.02786636352539,1980,2,0,10
"3250",8381,0.984168171882629,1981,2,1,10
"3257",8388,1.3912467956543,1980,2,0,8
"3258",8388,1.49430394172668,1981,2,0,8
"3265",8406,1.29339110851288,1980,2,1,8
"3266",8406,1.60943794250488,1981,2,0,8
"3273",8415,1.17240953445435,1980,1,0,10
"3274",8415,0.426944136619568,1981,1,1,10
"3281",8496,1.35181570053101,1980,1,0,12
"3282",8496,1.19625079631805,1981,1,0,12
"3289",8501,0.962491750717163,1980,1,0,10
"3290",8501,1.03412961959839,1981,1,1,10
"3297",8518,1.85612773895264,1980,0,1,12
"3298",8518,2.18061184883118,1981,0,1,12
"3305",8520,0.554400265216827,1980,0,0,15
"3306",8520,1.11596190929413,1981,0,1,15
"3313",8524,1.19825887680054,1980,0,0,11
"3314",8524,1.52939522266388,1981,0,0,11
"3321",8548,1.1947420835495,1980,0,0,8
"3322",8548,1.18335354328156,1981,0,0,8
"3329",8556,1.63804316520691,1980,0,0,11
"3330",8556,1.78304755687714,1981,0,0,11
"3337",8564,0.80918675661087,1980,0,0,11
"3338",8564,1.26369202136993,1981,0,0,11
"3345",8581,1.2277090549469,1980,1,0,12
"3346",8581,1.1678284406662,1981,1,0,12
"3353",8586,-0.764880895614624,1980,1,0,12
"3354",8586,1.64951610565186,1981,1,0,12
"3361",8587,0.992074072360992,1980,1,1,11
"3362",8587,0.898236095905304,1981,1,0,11
"3369",8597,1.52112185955048,1980,1,1,10
"3370",8597,1.13497996330261,1981,1,1,10
"3377",8656,1.22485601902008,1980,0,0,12
"3378",8656,1.35673558712006,1981,0,0,12
"3385",8722,1.70079433917999,1980,2,0,12
"3386",8722,1.55024909973145,1981,2,0,12
"3393",8743,1.61563658714294,1980,0,0,12
"3394",8743,1.98000764846802,1981,0,0,12
"3401",8749,1.65919554233551,1980,1,0,8
"3402",8749,1.3259311914444,1981,1,0,8
"3409",8758,1.42552673816681,1980,0,0,12
"3410",8758,1.19830703735352,1981,0,0,12
"3417",8796,1.00749838352203,1980,0,1,13
"3418",8796,2.06597328186035,1981,0,1,13
"3425",8838,1.53136217594147,1980,0,0,12
"3426",8838,1.67731535434723,1981,0,0,12
"3433",8842,1.2442741394043,1980,0,0,11
"3434",8842,0.835286974906921,1981,0,0,11
"3441",8846,1.29717671871185,1980,0,1,12
"3442",8846,1.32687091827393,1981,0,1,12
"3449",8860,1.23064529895782,1980,2,1,13
"3450",8860,1.32687091827393,1981,2,1,13
"3457",8862,1.26627969741821,1980,2,0,13
"3458",8862,1.39778590202332,1981,2,0,13
"3465",8880,2.05892443656921,1980,2,0,12
"3466",8880,2.29249691963196,1981,2,0,12
"3473",8886,1.42942821979523,1980,2,0,12
"3474",8886,1.44238388538361,1981,2,0,12
"3481",8903,0.981671690940857,1980,2,0,11
"3482",8903,-0.220918849110603,1981,2,0,11
"3489",8908,1.24118292331696,1980,2,1,12
"3490",8908,1.27141404151917,1981,2,1,12
"3497",8911,1.04752194881439,1980,2,0,12
"3498",8911,1.12393009662628,1981,2,1,12
"3505",8917,1.55603396892548,1980,2,0,11
"3506",8917,2.00053310394287,1981,2,0,11
"3513",8991,1.45150220394135,1980,1,0,11
"3514",8991,2.27603721618652,1981,1,1,11
"3521",8997,1.81264269351959,1980,1,1,14
"3522",8997,1.9676501750946,1981,1,1,14
"3529",9014,1.82971060276031,1980,1,0,12
"3530",9014,1.48399198055267,1981,1,0,12
"3537",9015,1.39980554580688,1980,1,0,9
"3538",9015,1.3914065361023,1981,1,0,9
"3545",9027,1.57933557033539,1980,0,0,12
"3546",9027,1.60031294822693,1981,0,0,12
"3553",9066,1.60188317298889,1980,1,1,11
"3554",9066,1.42939758300781,1981,1,0,11
"3561",9082,-0.0735524594783783,1980,0,0,8
"3562",9082,1.29302585124969,1981,0,0,8
"3569",9131,1.10682880878448,1980,0,0,5
"3570",9131,1.02774620056152,1981,0,0,5
"3577",9132,1.22485601902008,1980,0,0,6
"3578",9132,1.1752233505249,1981,0,0,6
"3585",9154,2.56385374069214,1980,0,1,15
"3586",9154,2.53063321113586,1981,0,1,15
"3593",9158,1.50106573104858,1980,0,0,12
"3594",9158,1.40362870693207,1981,0,0,12
"3601",9184,1.30489873886108,1980,0,0,11
"3602",9184,1.20397281646729,1981,0,0,11
"3609",9230,1.09012341499329,1980,1,0,11
"3610",9230,0.896692395210266,1981,1,0,11
"3617",9265,1.23572838306427,1980,2,0,11
"3618",9265,0.997636377811432,1981,2,0,11
"3625",9367,0.931694447994232,1980,1,0,11
"3626",9367,0.791587233543396,1981,1,0,11
"3633",9390,-0.887685477733612,1980,1,0,12
"3634",9390,1.98107659816742,1981,1,1,12
"3641",9391,1.32064712047577,1980,1,0,11
"3642",9391,1.10758090019226,1981,1,0,11
"3649",9418,2.13286519050598,1980,1,0,15
"3650",9418,2.14639568328857,1981,1,0,15
"3657",9424,2.03578615188599,1980,2,1,12
"3658",9424,1.87770187854767,1981,2,1,12
"3665",9447,1.0502564907074,1980,0,0,14
"3666",9447,1.40685307979584,1981,0,0,14
"3673",9449,1.00060153007507,1980,0,0,15
"3674",9449,1.18510437011719,1981,0,0,15
"3681",9453,2.04300904273987,1980,0,1,15
"3682",9453,1.98905742168427,1981,0,1,15
"3689",9468,1.42073059082031,1980,0,0,16
"3690",9468,1.34287571907043,1981,0,0,16
"3697",9502,2.07500696182251,1980,0,1,12
"3698",9502,2.11152982711792,1981,0,1,12
"3705",9505,1.11949551105499,1980,0,0,8
"3706",9505,1.07919418811798,1981,0,0,8
"3713",9603,1.19091081619263,1980,0,0,10
"3714",9603,1.06944620609283,1981,0,0,10
"3721",9643,1.78233730792999,1980,2,0,12
"3722",9643,1.13943433761597,1981,2,0,12
"3729",9667,1.55710637569427,1980,2,0,13
"3730",9667,1.68815052509308,1981,2,0,13
"3737",9683,0.702811479568481,1980,1,0,12
"3738",9683,1.39199233055115,1981,1,1,12
"3745",9694,1.65055656433105,1980,0,0,15
"3746",9694,1.98892748355865,1981,0,0,15
"3753",9710,1.87104618549347,1980,0,0,12
"3754",9710,1.11626720428467,1981,0,0,12
"3761",9718,1.09856224060059,1980,0,0,13
"3762",9718,1.74046611785889,1981,0,0,13
"3769",9725,1.03912436962128,1980,0,0,13
"3770",9725,1.35135626792908,1981,0,0,13
"3777",9744,1.63032114505768,1980,0,1,15
"3778",9744,1.77195680141449,1981,0,0,15
"3785",9752,2.24548578262329,1980,0,0,15
"3786",9752,1.97170889377594,1981,0,0,15
"3793",9776,2.28090858459473,1980,2,0,11
"3794",9776,2.04022073745728,1981,2,1,11
"3801",9786,1.66668879985809,1980,2,1,12
"3802",9786,1.70858192443848,1981,2,1,12
"3809",9791,0.817682981491089,1980,0,0,15
"3810",9791,0.77279931306839,1981,0,0,15
"3817",9794,1.52496063709259,1980,0,0,12
"3818",9794,1.60943794250488,1981,0,1,12
"3825",9810,1.25121855735779,1980,2,0,11
"3826",9810,0.361790031194687,1981,2,0,11
"3833",9846,2.09806799888611,1980,2,0,12
"3834",9846,2.35958456993103,1981,2,0,12
"3841",9859,1.44799959659576,1980,2,1,12
"3842",9859,1.4983344078064,1981,2,1,12
"3849",9868,1.22276031970978,1980,2,0,11
"3850",9868,1.17118299007416,1981,2,0,11
"3857",9876,1.77680897712708,1980,2,0,13
"3858",9876,1.82923889160156,1981,2,0,13
"3865",9883,2.06318521499634,1980,2,1,12
"3866",9883,-0.262364268302917,1981,2,1,12
"3873",9889,1.91800320148468,1980,0,0,14
"3874",9889,1.73349058628082,1981,0,0,14
"3881",9901,1.99897229671478,1980,2,0,12
"3882",9901,1.65025985240936,1981,2,0,12
"3889",9936,1.53851354122162,1980,2,0,12
"3890",9936,1.25647675991058,1981,2,0,12
"3897",9964,0.859500885009766,1980,2,0,9
"3898",9964,1.44238388538361,1981,2,0,9
"3905",10043,1.4739750623703,1980,2,0,12
"3906",10043,0.450201004743576,1981,2,0,12
"3913",10067,1.36461794376373,1980,2,0,11
"3914",10067,1.48502922058105,1981,2,0,11
"3921",10091,1.46527206897736,1980,0,0,12
"3922",10091,2.1023097038269,1981,0,0,12
"3929",10120,-0.236821010708809,1980,0,0,13
"3930",10120,0.271152764558792,1981,0,0,13
"3937",10121,1.22485601902008,1980,0,0,11
"3938",10121,1.44238388538361,1981,0,0,11
"3945",10167,1.44799959659576,1980,1,1,12
"3946",10167,1.60943794250488,1981,1,1,12
"3953",10209,1.23590588569641,1980,0,0,10
"3954",10209,1.13467133045197,1981,0,0,10
"3961",10230,1.66754388809204,1980,0,0,10
"3962",10230,1.58395349979401,1981,0,0,10
"3969",10265,2.12796354293823,1980,0,1,14
"3970",10265,1.81707727909088,1981,0,0,14
"3977",10274,0.113504700362682,1980,0,0,14
"3978",10274,1.6835458278656,1981,0,1,14
"3985",10311,1.63032114505768,1980,2,0,11
"3986",10311,1.6835458278656,1981,2,0,11
"3993",10392,0.177886962890625,1980,2,0,8
"3994",10392,1.32441890239716,1981,2,0,8
"4001",10425,1.63032114505768,1980,1,0,13
"4002",10425,2.53469729423523,1981,1,1,13
"4009",10441,1.26008474826813,1980,0,0,14
"4010",10441,1.36431550979614,1981,0,0,14
"4017",10457,0.509818911552429,1980,0,0,13
"4018",10457,1.46341502666473,1981,0,0,13
"4025",10469,2.15116834640503,1980,1,1,12
"4026",10469,1.86972105503082,1981,1,1,12
"4033",10524,1.04896533489227,1980,2,0,11
"4034",10524,1.11280345916748,1981,2,0,11
"4041",10552,1.21338355541229,1980,2,0,9
"4042",10552,0.88057267665863,1981,2,0,9
"4049",10553,1.4957309961319,1980,2,0,13
"4050",10553,1.52196025848389,1981,2,0,13
"4057",10570,1.05643737316132,1980,0,0,11
"4058",10570,-1.41706597805023,1981,0,0,11
"4065",10593,1.21696865558624,1980,0,0,9
"4066",10593,1.05391216278076,1981,0,0,9
"4073",10666,1.09346520900726,1980,1,1,11
"4074",10666,0.99933272600174,1981,1,0,11
"4081",11275,0.955416262149811,1980,0,0,12
"4082",11275,1.66600823402405,1981,0,0,12
"4089",11328,1.73953521251678,1980,0,0,12
"4090",11328,0.890121042728424,1981,0,0,12
"4097",11750,1.15918695926666,1980,0,0,10
"4098",11750,1.52939522266388,1981,0,0,10
"4105",11821,1.16513681411743,1980,0,0,15
"4106",11821,1.94976377487183,1981,0,0,15
"4113",11857,1.59185647964478,1980,0,1,12
"4114",11857,2.00156688690186,1981,0,1,12
"4121",11887,1.94181382656097,1980,0,0,12
"4122",11887,1.63475573062897,1981,0,0,12
"4129",11890,1.26567804813385,1980,2,0,6
"4130",11890,1.71110153198242,1981,2,0,6
"4137",11892,1.81807446479797,1980,1,0,11
"4138",11892,2.02755212783813,1981,1,0,11
"4145",11924,1.42841720581055,1980,0,0,12
"4146",11924,1.54077184200287,1981,0,0,12
"4153",11925,1.17036271095276,1980,0,0,10
"4154",11925,1.49660539627075,1981,0,0,10
"4161",11957,0.014748222194612,1980,0,1,13
"4162",11957,0.439784348011017,1981,0,1,13
"4169",11973,1.44799959659576,1980,0,0,12
"4170",11973,1.73349058628082,1981,0,0,12
"4177",11990,1.64095437526703,1980,0,0,14
"4178",11990,1.91581213474274,1981,0,0,14
"4185",12012,0.41487592458725,1980,0,0,13
"4186",12012,1.69423449039459,1981,0,0,13
"4193",12013,0.667991280555725,1980,0,0,10
"4194",12013,1.24319350719452,1981,0,0,10
"4201",12045,1.14718294143677,1980,0,0,16
"4202",12045,1.11436069011688,1981,0,0,16
"4209",12055,1.94233524799347,1980,0,0,12
"4210",12055,1.56080341339111,1981,0,0,12
"4217",12084,-0.36907771229744,1980,0,0,12
"4218",12084,1.28735446929932,1981,0,0,12
"4225",12088,1.17124891281128,1980,0,0,12
"4226",12088,0.929535984992981,1981,0,0,12
"4233",12122,0.946512281894684,1980,0,0,8
"4234",12122,0.941608548164368,1981,0,0,8
"4241",12179,1.50626850128174,1980,2,1,10
"4242",12179,1.285395860672,1981,2,0,10
"4249",12182,1.47171604633331,1980,2,0,13
"4250",12182,1.5512672662735,1981,2,0,13
"4257",12220,1.54202854633331,1980,2,0,12
"4258",12220,1.94591009616852,1981,2,0,12
"4265",12221,0.864342272281647,1980,0,0,11
"4266",12221,-0.0327898226678371,1981,0,0,11
"4273",12245,0.62573778629303,1980,0,0,14
"4274",12245,1.17175912857056,1981,0,0,14
"4281",12276,1.54330968856812,1980,0,0,12
"4282",12276,1.44694685935974,1981,0,0,12
"4289",12385,1.42784798145294,1980,0,0,12
"4290",12385,1.62075161933899,1981,0,0,12
"4297",12410,-0.815364837646484,1980,0,1,12
"4298",12410,1.82033288478851,1981,0,1,12
"4305",12420,0.0040760925039649,1980,0,0,12
"4306",12420,2.39789533615112,1981,0,0,12
"4313",12433,1.66754388809204,1980,0,0,15
"4314",12433,1.60943794250488,1981,0,0,15
"4321",12451,1.06648766994476,1980,0,0,14
"4322",12451,1.93731081485748,1981,0,0,14
"4329",12477,2.21346735954285,1980,0,1,12
"4330",12477,2.22254228591919,1981,0,1,12
"4337",12500,0.972402632236481,1980,0,0,12
"4338",12500,1.32488572597504,1981,0,0,12
"4345",12534,1.84004163742065,1980,0,0,11
"4346",12534,2.17475175857544,1981,0,0,11
"4353",12548,1.13054537773132,1980,0,0,9
"4354",12548,1.31160342693329,1981,0,0,9
